state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter
CA,San Diego County Council District 1,San Diego County Supervisor District 1,Greg Cox,,(619) 531-5430,http://www.gregcox.com/,,,
CA,San Diego County Council District 2,San Diego County Supervisor District 2,Dianne Jacob,,(619) 531-5430,http://www.diannejacob.com/,,,
CA,San Diego County Council District 3,San Diego County Supervisor District 3,Dave Roberts,,(619) 531-5430,http://www.supervisordaveroberts.com/,,,
CA,San Diego County Council District 4,San Diego County Supervisor District 4,Ron Roberts,,(619) 531-5430,http://www.ronroberts.com/,,,
CA,San Diego County Council District 5,San Diego County Supervisor District 5,Bill Horn,,(619) 531-5430,http://billhorn.com/,,,
CA,San Diego County,Assessor,"Ernest J. Dronenburg, Jr.",,,https://arcc.sdcounty.ca.gov/Pages/default.aspx,,,
CA,San Diego County,District Attorney,Bonnie M. Dumanis,,,http://www.sdcda.org/,,,
CA,San Diego County,Sheriff,Bill Gore,,,http://www.sdsheriff.net/,,,
CA,San Diego County,Treasurer,Dan Mcallister,,,http://www.sdtreastax.com/,,,
